,layer,layer_type,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
0,0,attn,noising,0.8373712301254272,0.9392523169517517,0.9695384502410889,0.94976806640625,0.858538031578064,-0.7407569885253906,0.96875,-0.894599437713623,0.7265625,-1.0661649703979492,0.6640625,-1.1567370891571045,0.609375,-0.7381130456924438,0.84375,-6.148863792419434,5.2542643547058105,-6.072501182556152,5.006336212158203,-5.356444358825684,4.199707269668579,-5.798769474029541,5.060656428337097,-4.3177971839904785,3.577040195465088,-3.1548805236816406,2.2602810859680176,-3.484877824783325,2.418712854385376,-3.0708537101745605,1.914116621017456
1,0,attn,denoising,0.8332796096801758,0.9402422904968262,0.9661256670951843,0.9447144865989685,0.8951141834259033,-4.692332744598389,0.0625,-4.756189346313477,0.1171875,-5.468902587890625,0.0390625,-5.558749675750732,0.0625,-6.184621810913086,0.0859375,-5.906488418579102,1.150299072265625,-5.671154022216797,0.20225143432617188,-5.050439357757568,-0.5083103179931641,-6.0287675857543945,-0.1558542251586914,-4.748341083526611,0.056008338928222656,-5.175213813781738,0.4190244674682617,-5.424506187438965,-0.044396400451660156,-5.8372626304626465,0.27851295471191406
2,0,mlp,noising,0.8373861908912659,0.9396540522575378,0.9697602987289429,0.9495012760162354,0.8573700189590454,-0.7410416603088379,0.96875,-0.8946758508682251,0.7421875,-1.079265832901001,0.65625,-1.1666326522827148,0.6015625,-0.7375816702842712,0.8515625,-6.1148576736450195,5.220181822776794,-6.008359909057617,4.929094076156616,-5.293574333190918,4.126941680908203,-5.734837532043457,4.997255861759186,-4.315997123718262,3.574955463409424,-3.1425564289093018,2.2478805780410767,-3.4811012744903564,2.4018354415893555,-3.052300214767456,1.8856675624847412
3,0,mlp,denoising,0.833103597164154,0.9402333498001099,0.9664990901947021,0.9441273212432861,0.8946608304977417,-4.69401741027832,0.0625,-4.734340190887451,0.1171875,-5.441227912902832,0.0390625,-5.516026496887207,0.078125,-6.167595863342285,0.0859375,-5.931133270263672,1.1967930793762207,-5.738523483276367,0.29729557037353516,-5.095489501953125,-0.42053699493408203,-6.085585594177246,-0.08201026916503906,-4.751033782958984,0.05701637268066406,-5.164861679077148,0.43052148818969727,-5.414515972137451,-0.02671194076538086,-5.8245649337768555,0.30853843688964844
4,1,attn,noising,0.8374994993209839,0.9394060969352722,0.9691406488418579,0.9500415325164795,0.8582582473754883,-0.7401650547981262,0.96875,-0.8906992673873901,0.7421875,-1.0678961277008057,0.671875,-1.1573121547698975,0.6171875,-0.7387619018554688,0.84375,-6.151413917541504,5.260714650154114,-6.067814350128174,4.999918222427368,-5.377030372619629,4.2197182178497314,-5.805937767028809,5.06717586517334,-4.3168416023254395,3.5766765475273132,-3.1555771827697754,2.2648779153823853,-3.4799821376800537,2.412086009979248,-3.078781843185425,1.9214696884155273
5,1,attn,denoising,0.8332394361495972,0.9400420188903809,0.9655410647392273,0.9446503520011902,0.8953187465667725,-4.6969451904296875,0.0625,-4.763134002685547,0.125,-5.452873229980469,0.0390625,-5.556620121002197,0.0703125,-6.170336723327637,0.0859375,-5.9045610427856445,1.1414270401000977,-5.665781021118164,0.2129077911376953,-5.042896270751953,-0.5137238502502441,-6.014094352722168,-0.15624237060546875,-4.752523899078369,0.05557870864868164,-5.177258491516113,0.4141244888305664,-5.418923377990723,-0.033949851989746094,-5.843086242675781,0.286466121673584
6,1,mlp,noising,0.8373304605484009,0.9392566084861755,0.9694435596466064,0.9497824907302856,0.8585149645805359,-0.7407178282737732,0.96875,-0.8932757377624512,0.734375,-1.0669195652008057,0.65625,-1.1561187505722046,0.6171875,-0.7384771108627319,0.8359375,-6.157147407531738,5.263871669769287,-6.092153072357178,5.025233507156372,-5.370149612426758,4.214030861854553,-5.811596870422363,5.073119759559631,-4.315664291381836,3.5749464631080627,-3.1563589572906494,2.2630832195281982,-3.484093189239502,2.4171736240386963,-3.0708136558532715,1.914694905281067
7,1,mlp,denoising,0.8331670165061951,0.9404302835464478,0.9659278392791748,0.944588840007782,0.8951323628425598,-4.693029403686523,0.0625,-4.757088661193848,0.1171875,-5.472963333129883,0.0390625,-5.553837776184082,0.0703125,-6.185580253601074,0.0859375,-5.896806716918945,1.1397180557250977,-5.656856536865234,0.18389320373535156,-5.044435977935791,-0.509401798248291,-6.016086578369141,-0.1694936752319336,-4.750848770141602,0.057819366455078125,-5.171963214874268,0.4148745536804199,-5.430493354797363,-0.04246997833251953,-5.838335990905762,0.2844982147216797
8,2,attn,noising,0.8374795913696289,0.9391969442367554,0.9695005416870117,0.9496376514434814,0.8584221005439758,-0.7399647235870361,0.96875,-0.8959581851959229,0.734375,-1.0634033679962158,0.6640625,-1.156933069229126,0.6171875,-0.7387116551399231,0.8359375,-6.152738571166992,5.256780385971069,-6.074174880981445,5.0107715129852295,-5.363783836364746,4.20685076713562,-5.808493614196777,5.069781959056854,-4.315558910369873,3.575594186782837,-3.1533007621765137,2.257342576980591,-3.48799467086792,2.424591302871704,-3.073277711868286,1.9163446426391602
9,2,attn,denoising,0.8334765434265137,0.9402511119842529,0.9660817384719849,0.9447736740112305,0.8952947854995728,-4.693638801574707,0.0625,-4.757701873779297,0.125,-5.473773002624512,0.0390625,-5.5575056076049805,0.0703125,-6.184322834014893,0.0859375,-5.9029765129089355,1.1452746391296387,-5.668017864227295,0.1942448616027832,-5.044369697570801,-0.5131359100341797,-6.022030830383301,-0.1622920036315918,-4.754204750061035,0.060565948486328125,-5.174640655517578,0.41693878173828125,-5.422852039337158,-0.050920963287353516,-5.836513519287109,0.2790079116821289
10,2,mlp,noising,0.8376128673553467,0.9392580986022949,0.9698423147201538,0.9493982195854187,0.8588606715202332,-0.740134596824646,0.96875,-0.8969384431838989,0.734375,-1.066460132598877,0.65625,-1.1572234630584717,0.6171875,-0.7403569221496582,0.84375,-6.153213024139404,5.256274580955505,-6.067580699920654,5.001120567321777,-5.350000381469727,4.192776918411255,-5.799200534820557,5.058843612670898,-4.315058708190918,3.574924111366272,-3.1508536338806152,2.2539151906967163,-3.4810075759887695,2.4145474433898926,-3.070040702819824,1.9128172397613525
11,2,mlp,denoising,0.8331135511398315,0.9402925372123718,0.966151237487793,0.943736732006073,0.8945773839950562,-4.69247579574585,0.0625,-4.756130218505859,0.1171875,-5.474252700805664,0.0390625,-5.544730186462402,0.0703125,-6.184873580932617,0.0859375,-5.90316104888916,1.1470308303833008,-5.681231498718262,0.20697879791259766,-5.04030704498291,-0.5044231414794922,-6.037612438201904,-0.1472611427307129,-4.7491774559021,0.05670166015625,-5.1730170249938965,0.4168868064880371,-5.425970077514648,-0.048282623291015625,-5.8230133056640625,0.27828311920166016
