,token,string,is_alpha,is_word,is_fragment,has_space,num_chars,let0,let1,let2,let3,let4,let5
0,0,<|endoftext|>,False,False,False,False,13,-1,-1,-1,-1,-1,-1
1,1,<|padding|>,False,False,False,False,11,-1,-1,-1,-1,-1,-1
2,2,!,False,False,False,False,1,-1,-1,-1,-1,-1,-1
3,3,"""",False,False,False,False,1,-1,-1,-1,-1,-1,-1
4,4,#,False,False,False,False,1,-1,-1,-1,-1,-1,-1
5,5,$,False,False,False,False,1,-1,-1,-1,-1,-1,-1
6,6,%,False,False,False,False,1,-1,-1,-1,-1,-1,-1
7,7,&,False,False,False,False,1,-1,-1,-1,-1,-1,-1
8,8,',False,False,False,False,1,-1,-1,-1,-1,-1,-1
9,9,(,False,False,False,False,1,-1,-1,-1,-1,-1,-1
10,10,),False,False,False,False,1,-1,-1,-1,-1,-1,-1
11,11,*,False,False,False,False,1,-1,-1,-1,-1,-1,-1
12,12,+,False,False,False,False,1,-1,-1,-1,-1,-1,-1
13,13,",",False,False,False,False,1,-1,-1,-1,-1,-1,-1
14,14,-,False,False,False,False,1,-1,-1,-1,-1,-1,-1
15,15,.,False,False,False,False,1,-1,-1,-1,-1,-1,-1
16,16,/,False,False,False,False,1,-1,-1,-1,-1,-1,-1
17,17,0,False,False,False,False,1,-1,-1,-1,-1,-1,-1
18,18,1,False,False,False,False,1,-1,-1,-1,-1,-1,-1
19,19,2,False,False,False,False,1,-1,-1,-1,-1,-1,-1
20,20,3,False,False,False,False,1,-1,-1,-1,-1,-1,-1
21,21,4,False,False,False,False,1,-1,-1,-1,-1,-1,-1
22,22,5,False,False,False,False,1,-1,-1,-1,-1,-1,-1
23,23,6,False,False,False,False,1,-1,-1,-1,-1,-1,-1
24,24,7,False,False,False,False,1,-1,-1,-1,-1,-1,-1
25,25,8,False,False,False,False,1,-1,-1,-1,-1,-1,-1
26,26,9,False,False,False,False,1,-1,-1,-1,-1,-1,-1
27,27,:,False,False,False,False,1,-1,-1,-1,-1,-1,-1
28,28,;,False,False,False,False,1,-1,-1,-1,-1,-1,-1
29,29,<,False,False,False,False,1,-1,-1,-1,-1,-1,-1
30,30,=,False,False,False,False,1,-1,-1,-1,-1,-1,-1
31,31,>,False,False,False,False,1,-1,-1,-1,-1,-1,-1
32,32,?,False,False,False,False,1,-1,-1,-1,-1,-1,-1
33,33,@,False,False,False,False,1,-1,-1,-1,-1,-1,-1
34,34,A,False,False,False,False,1,-1,-1,-1,-1,-1,-1
35,35,B,False,False,False,False,1,-1,-1,-1,-1,-1,-1
36,36,C,False,False,False,False,1,-1,-1,-1,-1,-1,-1
37,37,D,False,False,False,False,1,-1,-1,-1,-1,-1,-1
38,38,E,False,False,False,False,1,-1,-1,-1,-1,-1,-1
39,39,F,False,False,False,False,1,-1,-1,-1,-1,-1,-1
40,40,G,False,False,False,False,1,-1,-1,-1,-1,-1,-1
41,41,H,False,False,False,False,1,-1,-1,-1,-1,-1,-1
42,42,I,False,False,False,False,1,-1,-1,-1,-1,-1,-1
43,43,J,False,False,False,False,1,-1,-1,-1,-1,-1,-1
44,44,K,False,False,False,False,1,-1,-1,-1,-1,-1,-1
45,45,L,False,False,False,False,1,-1,-1,-1,-1,-1,-1
46,46,M,False,False,False,False,1,-1,-1,-1,-1,-1,-1
47,47,N,False,False,False,False,1,-1,-1,-1,-1,-1,-1
48,48,O,False,False,False,False,1,-1,-1,-1,-1,-1,-1
49,49,P,False,False,False,False,1,-1,-1,-1,-1,-1,-1
50,50,Q,False,False,False,False,1,-1,-1,-1,-1,-1,-1
51,51,R,False,False,False,False,1,-1,-1,-1,-1,-1,-1
52,52,S,False,False,False,False,1,-1,-1,-1,-1,-1,-1
53,53,T,False,False,False,False,1,-1,-1,-1,-1,-1,-1
54,54,U,False,False,False,False,1,-1,-1,-1,-1,-1,-1
55,55,V,False,False,False,False,1,-1,-1,-1,-1,-1,-1
56,56,W,False,False,False,False,1,-1,-1,-1,-1,-1,-1
57,57,X,False,False,False,False,1,-1,-1,-1,-1,-1,-1
58,58,Y,False,False,False,False,1,-1,-1,-1,-1,-1,-1
59,59,Z,False,False,False,False,1,-1,-1,-1,-1,-1,-1
60,60,[,False,False,False,False,1,-1,-1,-1,-1,-1,-1
61,61,\,False,False,False,False,1,-1,-1,-1,-1,-1,-1
62,62,],False,False,False,False,1,-1,-1,-1,-1,-1,-1
63,63,^,False,False,False,False,1,-1,-1,-1,-1,-1,-1
64,64,_,False,False,False,False,1,-1,-1,-1,-1,-1,-1
65,65,`,False,False,False,False,1,-1,-1,-1,-1,-1,-1
66,66,a,True,False,True,False,1,0,-1,-1,-1,-1,-1
67,67,b,True,False,True,False,1,1,-1,-1,-1,-1,-1
68,68,c,True,False,True,False,1,2,-1,-1,-1,-1,-1
69,69,d,True,False,True,False,1,3,-1,-1,-1,-1,-1
70,70,e,True,False,True,False,1,4,-1,-1,-1,-1,-1
71,71,f,True,False,True,False,1,5,-1,-1,-1,-1,-1
72,72,g,True,False,True,False,1,6,-1,-1,-1,-1,-1
73,73,h,True,False,True,False,1,7,-1,-1,-1,-1,-1
74,74,i,True,False,True,False,1,8,-1,-1,-1,-1,-1
75,75,j,True,False,True,False,1,9,-1,-1,-1,-1,-1
76,76,k,True,False,True,False,1,10,-1,-1,-1,-1,-1
77,77,l,True,False,True,False,1,11,-1,-1,-1,-1,-1
78,78,m,True,False,True,False,1,12,-1,-1,-1,-1,-1
79,79,n,True,False,True,False,1,13,-1,-1,-1,-1,-1
80,80,o,True,False,True,False,1,14,-1,-1,-1,-1,-1
81,81,p,True,False,True,False,1,15,-1,-1,-1,-1,-1
82,82,q,True,False,True,False,1,16,-1,-1,-1,-1,-1
83,83,r,True,False,True,False,1,17,-1,-1,-1,-1,-1
84,84,s,True,False,True,False,1,18,-1,-1,-1,-1,-1
85,85,t,True,False,True,False,1,19,-1,-1,-1,-1,-1
86,86,u,True,False,True,False,1,20,-1,-1,-1,-1,-1
87,87,v,True,False,True,False,1,21,-1,-1,-1,-1,-1
88,88,w,True,False,True,False,1,22,-1,-1,-1,-1,-1
89,89,x,True,False,True,False,1,23,-1,-1,-1,-1,-1
90,90,y,True,False,True,False,1,24,-1,-1,-1,-1,-1
91,91,z,True,False,True,False,1,25,-1,-1,-1,-1,-1
92,92,{,False,False,False,False,1,-1,-1,-1,-1,-1,-1
93,93,|,False,False,False,False,1,-1,-1,-1,-1,-1,-1
94,94,},False,False,False,False,1,-1,-1,-1,-1,-1,-1
95,95,~,False,False,False,False,1,-1,-1,-1,-1,-1,-1
96,96,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
97,97,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
98,98,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
99,99,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
100,100,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
101,101,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
102,102,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
103,103,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
104,104,�,False,False,False,False,1,-1,-1,-1,-1,-1,-1
